Comedy,true,698
Romance,false,645
Family,false,421
Comedy,true,1207
Talk-Show,true,1320
Short,true,329
Game-Show,true,175
Sport,false,415
Crime,true,1560
Drama,true,181
Short,false,515
Drama,false,435
Comedy,true,697
NULL_GENRE,false,453
Animation,false,207
Documentary,false,1441
News,false,778
NULL_GENRE,true,684
Drama,false,624
Reality-TV,true,176
Talk-Show,true,650
Music,false,35791
Reality-TV,true,301
Sci-Fi,false,740
Talk-Show,false,39
Drama,true,489
Short,true,358
Drama,false,1999
Music,true,272
Game-Show,false,1860
Comedy,false,116
News,true,4162
Reality-TV,true,1452
Animation,true,258
Music,true,305
Comedy,true,1439
Romance,false,86
Action,true,416
Short,false,422
Action,false,471
Comedy,false,819
News,false,317
Romance,false,181
NULL_GENRE,false,416
Reality-TV,false,345
Comedy,true,2088
Crime,true,1440
Short,false,380
Short,true,142
Romance,true,138
Adventure,true,339
Drama,true,3077
Family,true,403
Fantasy,false,476
Romance,false,547
Biography,false,155
Short,false,1026
Talk-Show,false,1300
Adventure,true,512
News,false,205
Fantasy,true,357
Animation,true,9000
Sport,true,1151
Drama,false,469
Talk-Show,true,322
News,false,402
Animation,true,1000
Music,false,131
NULL_GENRE,false,287
Documentary,true,373
Drama,true,367
Talk-Show,false,1210
Talk-Show,true,565
Documentary,true,285
Game-Show,false,1970
NULL_GENRE,true,629
Short,false,138
Reality-TV,true,556
Drama,true,195
Adult,false,382
Drama,false,32
Reality-TV,false,238
Game-Show,true,200
Adventure,true,490
Family,false,60
Thriller,true,254
Comedy,false,17
Animation,true,357
NULL_GENRE,false,43200
Drama,true,750
Sci-Fi,true,363
Comedy,false,1380
Adventure,false,250
Adult,true,47
Adult,false,113
Drama,true,293
Talk-Show,true,650
News,false,349
Documentary,false,28
News,false,2925
Drama,false,503
Music,false,4800
Talk-Show,false,1350
Documentary,true,615
Thriller,false,59
Horror,false,383
Documentary,true,602
Documentary,true,277
History,false,663
Game-Show,true,1290
Crime,true,415
Comedy,false,355
Reality-TV,true,755
Drama,false,268
Adventure,false,118
Game-Show,false,612
Comedy,true,70
Sport,true,178
Reality-TV,false,1750
Talk-Show,false,1873
Drama,false,428
Talk-Show,false,239
Drama,false,243
Talk-Show,true,87
Crime,false,1415
Animation,false,660
Short,true,582
Fantasy,false,284
Talk-Show,false,551
Drama,false,269
Drama,true,346
Romance,false,1560
Romance,false,33
Documentary,true,322
Game-Show,true,614
Drama,true,1997
Animation,false,750
Mystery,false,711
Comedy,false,780
Drama,true,3087
Talk-Show,false,289
Short,true,654
Animation,true,172
History,false,20
Adventure,true,344
Talk-Show,true,481
Short,false,488
Reality-TV,false,195
Action,true,2088
History,true,239
Drama,false,159
Action,false,57
Game-Show,true,413
Reality-TV,true,571
Drama,false,606
Reality-TV,false,254
Crime,false,1034
Talk-Show,true,883
Music,true,25
Comedy,true,223
Drama,true,434
Drama,true,521
Action,false,109
Music,true,157
Documentary,false,1411
Adult,true,1228
Drama,false,137
Drama,false,548
Thriller,false,498
Fantasy,false,145
Short,false,28643
NULL_GENRE,true,313
Romance,false,378
NULL_GENRE,true,155
Documentary,true,294
Sport,true,690
Romance,true,73
Talk-Show,false,167
Family,false,840
Drama,true,299
Romance,false,300
Biography,true,81
Comedy,true,22
Thriller,true,26
Talk-Show,false,842
Crime,true,420
Reality-TV,true,845
Drama,false,467
Adult,false,531
Comedy,false,719
Drama,false,703
Talk-Show,false,616
Drama,true,149
Documentary,true,455
Family,true,601
Short,true,344
NULL_GENRE,false,320
Short,false,531
NULL_GENRE,false,127
Game-Show,false,353
News,false,665
Drama,false,1215
Romance,false,21
Drama,true,156
Talk-Show,false,1416
Reality-TV,false,1560
Comedy,false,596
Documentary,true,200
Romance,false,1329
Reality-TV,true,197
Romance,true,211
Crime,true,810
Adventure,true,570
Horror,false,34
Sport,true,435
Short,false,990
Game-Show,true,568
Animation,true,431
Documentary,false,1644
Reality-TV,false,940
Drama,false,356
Romance,false,541
Romance,false,9
News,false,475
News,false,201
Thriller,false,74
Reality-TV,true,423
Sport,false,14
Family,true,697
Drama,true,405
News,false,990
Short,true,760
Comedy,false,1210
Romance,true,290
Adult,false,480
Reality-TV,true,1174
Documentary,true,82
Short,false,82
Romance,true,171
Drama,false,990
Drama,true,458
Mystery,true,270
Music,true,433
Documentary,true,1452
Drama,false,325
Sport,true,19
Comedy,false,596
Comedy,true,251
Family,true,81
Comedy,false,482
Drama,false,315
Fantasy,true,128
Talk-Show,true,1560
Game-Show,false,2020
Talk-Show,true,3000
Drama,true,582
Documentary,true,41
NULL_GENRE,true,2880
Comedy,false,613
Romance,true,778
Talk-Show,false,145
War,false,133
Comedy,true,375
Animation,true,702
Adventure,false,931
Thriller,true,335
Documentary,false,778
Reality-TV,true,1040
Drama,true,47
Short,true,6
Drama,true,752
Comedy,false,198
News,false,95
Drama,true,3
Animation,true,137
Drama,false,2800
Drama,false,305
Drama,true,43
Thriller,false,513
Music,true,1400
Drama,true,508
Talk-Show,true,899
Drama,true,226
Romance,false,413
Comedy,true,136
Game-Show,false,10
Comedy,true,399
Drama,false,904
Thriller,true,1234
Family,true,659
Drama,true,673
Documentary,true,14
Talk-Show,true,1750
Animation,false,684
Talk-Show,true,219
Drama,true,8
Biography,false,576
Drama,false,2252
Short,true,695
Documentary,false,167
Drama,false,184
Drama,false,252
Family,true,673
Animation,true,1710
Animation,true,280
Sci-Fi,false,147
Drama,true,452
Comedy,false,430
Comedy,true,808
Romance,true,125
Comedy,false,305
Drama,false,327
Reality-TV,true,476
Crime,false,124
Drama,false,30
NULL_GENRE,true,312
Romance,false,378
Family,true,136
Drama,false,116
Short,true,225
Short,false,689
Short,false,226
Crime,false,1452
Reality-TV,false,465
Adult,true,540
Drama,false,2020
Crime,false,1554
Comedy,true,751
Drama,true,21
Sport,false,185
Drama,true,556
Drama,true,185
